DB2.DBX0.0;Genel Alarm;True;Acil Stop Alarm;Acil Stop Alarm
DB2.DBX0.1;Genel Alarm;True;Kapi Alarm;Kapi Alarm
DB2.DBX0.2;Genel Alarm;True;Alarmlar3;Alarmlar3
DB2.DBX0.3;Genel Alarm;True;Alarmlar4;Alarmlar4
DB2.DBX0.4;Genel Alarm;True;Alarmlar5;Alarmlar5
DB2.DBX0.5;Genel Alarm;True;Alarmlar6;Alarmlar6
DB2.DBX0.6;Genel Alarm;True;Alarmlar7;Alarmlar7
DB2.DBX0.7;Genel Alarm;True;Alarmlar8;Alarmlar8
DB2.DBX1.0;Genel Alarm;True;Grup Tasima Pistonu Ileri Hata ;Grup Tasima Pistonu Ileri Hata 
DB2.DBX1.1;Genel Alarm;True;Grup Tasima Pistonu Geri Hata ;Grup Tasima Pistonu Geri Hata 
DB2.DBX1.2;Genel Alarm;True;Grup Tasima Oper Hata;Grup Tasima Oper Hata 
DB2.DBX1.3;Genel Alarm;True;Grup Tasima Pistonu Sensor Hata ;Grup Tasima Pistonu Sensor Hata 
DB2.DBX1.4;Genel Alarm;True;Kontrol 1 Pistonu Ileri Hata Office;Kontrol 1 Ileri Hata Office
DB2.DBX1.5;Genel Alarm;True;Kontrol 1 Pistonu Geri Hata Office;Kontrol 1Pistonu Geri Hata Office
DB2.DBX1.6;Genel Alarm;True;Kontrol 1 Pistonu Oper Hata Office;Kontrol 1 Pistonu Oper Hata Office
DB2.DBX1.7;Genel Alarm;True;Kontrol 1 Pistonu Sensor Hata Office;Kontrol 1 Pistonu Sensor Hata Office
DB2.DBX2.0;Genel Alarm;True;Kamera Run Modda Degil;Kamera Run Modda Degil
DB2.DBX2.1;Genel Alarm;True;Alarmlar18;Alarmlar18
DB2.DBX2.2;Genel Alarm;True;Alarmlar19;Alarmlar19
DB2.DBX2.3;Genel Alarm;True;Alarmlar20;Alarmlar20
DB2.DBX2.4;Genel Alarm;True;Alarmlar21;Alarmlar21
DB2.DBX2.5;Genel Alarm;True;Alarmlar22;Alarmlar22
DB2.DBX2.6;Genel Alarm;True;Alarmlar23;Alarmlar23
DB2.DBX2.7;Genel Alarm;True;Alarmlar24;Alarmlar24
DB2.DBX3.0;Genel Alarm;True;Alarmlar25;Alarmlar25
DB2.DBX3.1;Genel Alarm;True;Alarmlar26;Alarmlar26
DB2.DBX3.2;Genel Alarm;True;Alarmlar27;Alarmlar27
DB2.DBX3.3;Genel Alarm;True;Alarmlar28;Alarmlar28
DB2.DBX3.4;Genel Alarm;True;Alarmlar29;Alarmlar29
DB2.DBX3.5;Genel Alarm;True;Alarmlar30;Alarmlar30
DB2.DBX3.6;Genel Alarm;True;Alarmlar31;Alarmlar31
