17;;
1;DB6.STRING0.200;RECETE.ReceteAdi
2;DB6.STRING202.30;RECETE.ReceteTarihi
3;DB6.DINT234;RECETE.ReceteID
4;DB6.STRING238.30;RECETE.UretimEmirNo
5;DB6.STRING270.50;RECETE.Referans_Kodu
6;DB6.STRING322.50;RECETE.Referans_Adi
7;DB6.STRING374.50;RECETE.Referans_MusteriKodu
8;DB6.STRING426.50;RECETE.Referans_Barkod
9;DB6.STRING478.50;RECETE.ToplamUretilecekMiktar
10;DB6.INT530;RECETE.MakineNo
11;DB6.INT532;RECETE.IstasyonNo
12;DB6.INT534;RECETE.RedKasaKapasite
13;DB6.DINT536;RECETE.UretimSuresi
14;DB6.INT540;RECETE.KameraProgNo_Lamba1
15;DB6.INT542;RECETE.KameraProgNo_Lamba2
16;DB6.DINT544;RECETE.Analog_MinDeger
17;DB6.DINT548;RECETE.Analog_MaxDeger
18;DB6.INT552;RECETE.SOS_Secim
19;DB6.INT554;RECETE.SOS_BarkodAktif
20;DB6.STRING556.50;RECETE.SOS_Barkod
45;DB12.DBX2.7;WEBSERVIS.Haberlesme.IsEmri_Iste
46;DB12.INT18;WEBSERVIS.KALITE_KONTROL_ZAMANI_GELDI
47;DB12.INT20;WEBSERVIS.KALITE_KONTROL_ZAMANI
48;DB12.STRING22.20;WEBSERVIS.KALITE_KONTROL_DEFAULT_USER
49;DB12.STRING44.30;WEBSERVIS.SON_KALITE_KONTROL_ZAMANI
50;DB12.DBX0.0;WEBSERVIS.UretimHatStatuler.1_OFF
51;DB12.DBX0.1;WEBSERVIS.UretimHatStatuler.2_ON
52;DB12.DBX0.2;WEBSERVIS.UretimHatStatuler.3_BAKIM
53;DB12.DBX0.3;WEBSERVIS.UretimHatStatuler.4_DURUS
54;DB12.DBX0.4;WEBSERVIS.UretimHatStatuler.5_START
55;DB12.DBX0.5;WEBSERVIS.UretimHatStatuler.6_KALITE_DURUS
56;DB12.DBX0.6;WEBSERVIS.UretimHatStatuler.7_KALITE_START
57;DB12.DBX2.0;WEBSERVIS.Haberlesme.MAKINEBOS
58;DB12.INT4;WEBSERVIS.URETIM_HAT_STATUS
59;DB12.DINT6;WEBSERVIS.PROSES_KALAN_SURE
60;DB12.INT10;WEBSERVIS.GIRIS_YAPAN_KULLANICI_SAYI
61;DB12.DBX2.1;WEBSERVIS.Haberlesme.DURUSON
62;DB12.DBX2.2;WEBSERVIS.Haberlesme.BAKIMKONTROLON
63;DB12.DBX2.3;WEBSERVIS.Haberlesme.UretimBasladi
64;DB12.DBX2.4;WEBSERVIS.Haberlesme.UretimBasladi_Onay
65;DB12.DBX2.5;WEBSERVIS.Haberlesme.UretimBitti
66;DB12.DBX2.6;WEBSERVIS.Haberlesme.UretimBitti_Onay
67;DB12.DBB12;WEBSERVIS.VARDIYA1_BASLANGIC
68;DB12.DBB13;WEBSERVIS.VARDIYA1_BITIS
69;DB12.DBB14;WEBSERVIS.VARDIYA2_BASLANGIC
70;DB12.DBB15;WEBSERVIS.VARDIYA2_BITIS
71;DB12.DBB16;WEBSERVIS.VARDIYA3_BASLANGIC
72;DB12.DBB17;WEBSERVIS.VARDIYA3_BITIS
80;DB1.INT2;Durum.ResetAdim
81;DB1.INT4;Durum.OtomatikAdim
82;DB1.INT6;Durum.HmiInfo
83;DB9.DBX32.1;AYARLAR.IzlenebilirlikPasif
84;DB9.DBX32.2;AYARLAR.BuzzerDevamliCalis
85;DB14.STRING0.50;Barkod.SOS_OkunanBarkod
100;DB11.INT0;SONUC.GenelSonuc
101;DB11.INT2;SONUC.HataKodu
102;DB11.INT4;SONUC.KameraSonuc_Kontrol1_Acik
103;DB11.INT6;SONUC.KameraSonuc_Kontrol2_Kapali
104;DB11.INT8;SONUC.KameraSonuc_Kontrol3_Acik
105;DB11.INT10;SONUC.KameraSonuc_Kontrol4_Kapali
106;DB11.INT12;SONUC.AnalogSonuc_Kontrol1_Acik
107;DB11.DINT14;SONUC.AnalogDeger_Kontrol1_Acik
108;DB11.INT18;SONUC.AnalogSonuc_Kontrol3_Acik
109;DB11.DINT20;SONUC.AnalogDeger_Kontrol3_Acik
110;DB11.INT24;SONUC.SOS_Sonuc
111;DB11.STRING26.50;SONUC.SOS_OkunanBarkod
112;DB11.INT78;SONUC.Sol_Kamera_Sonuc
113;DB11.INT80;SONUC.Sag_Kamera_Sonuc
114;DB11.INT82;SONUC.Temas_Sonuc
150;DB4.DINT0;Sayaclar.OkSayac
151;DB4.DINT4;Sayaclar.NokSayac
152;DB4.DINT34;Sayaclar.KalanParca
