3;;
1;DB12.DBX2.0;WEBSERVIS.Haberlesme.MAKINEBOS
2;DB12.DBX2.1;WEBSERVIS.Haberlesme.DURUSON
3;DB12.DBX2.2;WEBSERVIS.Haberlesme.BAKIMKONTROLON
4;DB12.INT4;WEBSERVIS.URETIM_HAT_STATUS
5;DB12.INT18;WEBSERVIS.KALITE_KONTROL_ZAMANI_GELDI
6;DB12.INT20;WEBSERVIS.KALITE_KONTROL_ZAMANI
7;DB12.STRING22.20;WEBSERVIS.KALITE_KONTROL_DEFAULT_USER
8;DB12.STRING44.30;WEBSERVIS.SON_KALITE_KONTROL_ZAMANI
