17;;
1;DB16.STRING0.200;RECETE.ReceteAdi
2;DB16.STRING202.30;RECETE.ReceteTarihi
3;DB16.DINT234;RECETE.ReceteID
4;DB16.STRING238.30;RECETE.UretimEmirNo
5;DB16.STRING270.50;RECETE.Referans_Kodu
6;DB16.STRING322.50;RECETE.Referans_Adi
7;DB16.STRING374.50;RECETE.Referans_MusteriKodu
8;DB16.STRING426.50;RECETE.Referans_Barkod
9;DB16.STRING478.50;RECETE.ToplamUretilecekMiktar
10;DB16.INT530;RECETE.MakineNo
11;DB16.INT532;RECETE.IstasyonNo
12;DB16.INT534;RECETE.SkcProgramNo
13;DB16.INT536;RECETE.RedKasaKapasite
14;DB16.DINT538;RECETE.UretimSuresi
15;DB16.DINT542;RECETE.YaglamaSuresi
45;DB26.DBX2.7;WEBSERVIS.Haberlesme.IsEmri_Iste
46;DB26.INT18;WEBSERVIS.KALITE_KONTROL_ZAMANI_GELDI
47;DB26.INT20;WEBSERVIS.KALITE_KONTROL_ZAMANI
48;DB26.STRING22.20;WEBSERVIS.KALITE_KONTROL_DEFAULT_USER
49;DB26.STRING44.30;WEBSERVIS.SON_KALITE_KONTROL_ZAMANI
50;DB26.DBX0.0;WEBSERVIS.UretimHatStatuler.1_OFF
51;DB26.DBX0.1;WEBSERVIS.UretimHatStatuler.2_ON
52;DB26.DBX0.2;WEBSERVIS.UretimHatStatuler.3_BAKIM
53;DB26.DBX0.3;WEBSERVIS.UretimHatStatuler.4_DURUS
54;DB26.DBX0.4;WEBSERVIS.UretimHatStatuler.5_START
55;DB26.DBX0.5;WEBSERVIS.UretimHatStatuler.6_KALITE_DURUS
56;DB26.DBX0.6;WEBSERVIS.UretimHatStatuler.7_KALITE_START
57;DB26.DBX2.0;WEBSERVIS.Haberlesme.MAKINEBOS
58;DB26.INT4;WEBSERVIS.URETIM_HAT_STATUS
59;DB26.DINT6;WEBSERVIS.PROSES_KALAN_SURE
60;DB26.INT10;WEBSERVIS.GIRIS_YAPAN_KULLANICI_SAYI
61;DB26.DBX2.1;WEBSERVIS.Haberlesme.DURUSON
62;DB26.DBX2.2;WEBSERVIS.Haberlesme.BAKIMKONTROLON
63;DB26.DBX2.3;WEBSERVIS.Haberlesme.UretimBasladi
64;DB26.DBX2.4;WEBSERVIS.Haberlesme.UretimBasladi_Onay
65;DB26.DBX2.5;WEBSERVIS.Haberlesme.UretimBitti
66;DB26.DBX2.6;WEBSERVIS.Haberlesme.UretimBitti_Onay
67;DB26.DBB12;WEBSERVIS.VARDIYA1_BASLANGIC
68;DB26.DBB13;WEBSERVIS.VARDIYA1_BITIS
69;DB26.DBB14;WEBSERVIS.VARDIYA2_BASLANGIC
70;DB26.DBB15;WEBSERVIS.VARDIYA2_BITIS
71;DB26.DBB16;WEBSERVIS.VARDIYA3_BASLANGIC
72;DB26.DBB17;WEBSERVIS.VARDIYA3_BITIS
80;DB1.INT52;Durum.ResetAdim
81;DB1.INT54;Durum.OtomatikAdim
82;DB1.INT56;Durum.HmiInfo
100;DB21.INT0;SONUC.GenelSonuc
101;DB21.INT2;SONUC.HataKodu
150;DB4.DINT42;Sayaclar.Step1Kalan
151;DB4.DINT54;Sayaclar.OkSayac
152;DB4.DINT58;Sayaclar.NokSayac
